ItemCode,ItemName,ItemsGroupCode,ItemType,InventoryItem,SalesItem,PurchaseItem,InventoryUOM,U_BeltsPerRoll,U_WeightPerRoll
ItemCode,ItemName,ItemsGroupCode,ItemType,InventoryItem,SalesItem,PurchaseItem,InventoryUOM,U_BeltsPerRoll,U_WeightPerRoll
I-14636,TEST TREAD 01 - SYNC TEST - DO NOT USE,100,itItems,tYES,tYES,tNO,KGS,3,20
I-14637,TEST TREAD 02 - SYNC TEST - DO NOT USE,100,itItems,tYES,tYES,tNO,KGS,4,24
I-14638,TEST TREAD 03 - SYNC TEST - DO NOT USE,100,itItems,tYES,tYES,tNO,KGS,5,28
I-14639,TEST TREAD 04 - SYNC TEST - DO NOT USE,100,itItems,tYES,tYES,tNO,KGS,6,32
I-14640,TEST TREAD 05 - SYNC TEST - DO NOT USE,100,itItems,tYES,tYES,tNO,KGS,7,36
I-14641,TEST TREAD 06 - SYNC TEST - DO NOT USE,100,itItems,tYES,tYES,tNO,KGS,8,40
I-14642,TEST TREAD 07 - SYNC TEST - DO NOT USE,100,itItems,tYES,tYES,tNO,KGS,9,44
I-14643,TEST TREAD 08 - SYNC TEST - DO NOT USE,100,itItems,tYES,tYES,tNO,KGS,10,48
I-14644,TEST TREAD 09 - SYNC TEST - DO NOT USE,100,itItems,tYES,tYES,tNO,KGS,11,52
I-14645,TEST TREAD 10 - SYNC TEST - DO NOT USE,100,itItems,tYES,tYES,tNO,KGS,12,56
