ID,Default Unit of Measure
TREAD RUBBER PRECURED BLACK PEARL 160 RTS 99,Roll
TREAD RUBBER PRECURED BLACK PEARL 250 RTS 134,Roll
TREAD RUBBER PRECURED PLATINUM 126 MG 150,Roll
TREAD RUBBER PRECURED PLATINUM 140 MSRS 87,Roll
TREAD RUBBER PRECURED PLATINUM 145 DR 87,Roll
TREAD RUBBER PRECURED PLATINUM 145 DR 93,Roll
TREAD RUBBER PRECURED PLATINUM 148 TRS 96,Roll
TREAD RUBBER PRECURED PLATINUM 150 AJAX 87,Roll
TREAD RUBBER PRECURED PLATINUM 150 AJAX 96,Roll
TREAD RUBBER PRECURED PLATINUM 150 SL 94,Roll
TREAD RUBBER PRECURED PLATINUM 150 VK 96,Roll
TREAD RUBBER PRECURED PLATINUM 155 MSR 87,Roll
TREAD RUBBER PRECURED PLATINUM 155 SG,Roll
TREAD RUBBER PRECURED PLATINUM 156 AJAX 99,Roll
TREAD RUBBER PRECURED PLATINUM 160 AJAX 87,Roll
TREAD RUBBER PRECURED PLATINUM 160 AJAX 99,Roll
TREAD RUBBER PRECURED PLATINUM 160 SL 99,Roll
TREAD RUBBER PRECURED PLATINUM 160 VK 99,Roll
TREAD RUBBER PRECURED PLATINUM 168 AJAX 105,Roll
TREAD RUBBER PRECURED PLATINUM 168 JT 105,Roll
TREAD RUBBER PRECURED PLATINUM 168 VK 105,Roll
TREAD RUBBER PRECURED PLATINUM 170 SG 87,Roll
TREAD RUBBER PRECURED PLATINUM 170 SR 105,Roll
TREAD RUBBER PRECURED PLATINUM 172 SR 105 LW,Roll
TREAD RUBBER PRECURED PLATINUM 172 SR 120 LW,Roll
TREAD RUBBER PRECURED PLATINUM 173 JKB 88,Roll
TREAD RUBBER PRECURED PLATINUM 173 MSR 87,Roll
TREAD RUBBER PRECURED PLATINUM 174 MLG 105,Roll
TREAD RUBBER PRECURED PLATINUM 174 MLG 105 LW,Roll
TREAD RUBBER PRECURED PLATINUM 174 SR 105,Roll
TREAD RUBBER PRECURED PLATINUM 175 RTS 105,Roll
TREAD RUBBER PRECURED PLATINUM 175 RTS 120,Roll
TREAD RUBBER PRECURED PLATINUM 178 VK 120,Roll
TREAD RUBBER PRECURED PLATINUM 184 MSR 93,Roll
TREAD RUBBER PRECURED PLATINUM 187 RTS 120,Roll
TREAD RUBBER PRECURED PLATINUM 187 SL 110,Roll
TREAD RUBBER PRECURED PLATINUM 195 MSRS,Roll
TREAD RUBBER PRECURED PLATINUM 197 VK 129,Roll
TREAD RUBBER PRECURED PLATINUM 200 MXM 126,Roll
TREAD RUBBER PRECURED PLATINUM 205 PM (LW ) 130,Roll
TREAD RUBBER PRECURED PLATINUM 205 PM 130,Roll
TREAD RUBBER PRECURED PLATINUM 205 SL 129,Roll
TREAD RUBBER PRECURED PLATINUM 205 SR 130,Roll
TREAD RUBBER PRECURED PLATINUM 205 TR 103,Roll
TREAD RUBBER PRECURED PLATINUM 205 TR 129,Roll
TREAD RUBBER PRECURED PLATINUM 210 LM 130,Roll
TREAD RUBBER PRECURED PLATINUM 210 PM 130,Roll
TREAD RUBBER PRECURED PLATINUM 210 R 2 130,Roll
TREAD RUBBER PRECURED PLATINUM 215 PM 132,Roll
TREAD RUBBER PRECURED PLATINUM 215 R 2 130,Roll
TREAD RUBBER PRECURED PLATINUM 220 LD 130,Roll
TREAD RUBBER PRECURED PLATINUM 220 PM 130,Roll
TREAD RUBBER PRECURED PLATINUM 220 PM 132,Roll
TREAD RUBBER PRECURED PLATINUM 220 R 2 130,Roll
TREAD RUBBER PRECURED PLATINUM 220 RTS 132,Roll
TREAD RUBBER PRECURED PLATINUM 225 PM 132,Roll
TREAD RUBBER PRECURED PLATINUM 235 PM 134,Roll
TREAD RUBBER PRECURED PLATINUM 235 PM 134 LW,Roll
TREAD RUBBER PRECURED PLATINUM 235 R 2 134,Roll
